user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
ichernev,https://api.github.com/repos/moment/moment/pulls/6210,https://api.github.com/repos/moment/moment/issues/6210,closed,2024-02-18,2024-02-18,,1e39c017160cdf7e387f414030b8377040886459
ichernev,https://api.github.com/repos/moment/moment/pulls/6209,https://api.github.com/repos/moment/moment/issues/6209,closed,2024-02-18,2024-02-18,2024-02-18,18aba135ab927ffe7f868ee09276979bed6993a6
michalbencur,https://api.github.com/repos/moment/moment/pulls/6208,https://api.github.com/repos/moment/moment/issues/6208,open,2024-02-15,2024-02-23,,2cc78f83aca060052080d4c0668a88e6aa2aea8a
michalbencur,https://api.github.com/repos/moment/moment/pulls/6207,https://api.github.com/repos/moment/moment/issues/6207,closed,2024-02-15,2024-02-15,,34d9cc46eb8788652104c8f45a67b1db79972da1
michalbencur,https://api.github.com/repos/moment/moment/pulls/6206,https://api.github.com/repos/moment/moment/issues/6206,closed,2024-02-15,2024-02-15,,fea9f1ee0cd7c3c551d0303e337963ce6e0b0fb7
nathannorrisfairsailcom,https://api.github.com/repos/moment/moment/pulls/6200,https://api.github.com/repos/moment/moment/issues/6200,open,2024-01-10,2024-02-18,,e4a6cda5932f11f644ba92acb94b20416f328a54
ardhyanth,https://api.github.com/repos/moment/moment/pulls/6197,https://api.github.com/repos/moment/moment/issues/6197,open,2024-01-04,2024-01-04,,3f62af75331be93e8e0315bfb64d475801fb116b
dhirenofficial,https://api.github.com/repos/moment/moment/pulls/6195,https://api.github.com/repos/moment/moment/issues/6195,open,2023-12-30,2024-01-24,,1b3f84808cfa06addd348133782589fe021c159b
ichernev,https://api.github.com/repos/moment/moment/pulls/6193,https://api.github.com/repos/moment/moment/issues/6193,closed,2023-12-23,2023-12-23,2023-12-23,50af8c26039d398957db07b9775d573b5369e263
heiglandreas,https://api.github.com/repos/moment/moment/pulls/6191,https://api.github.com/repos/moment/moment/issues/6191,closed,2023-12-15,2023-12-26,,15e10db307a6c719d0aaba81745e486435e5bd83
mowglimecha9,https://api.github.com/repos/moment/moment/pulls/6187,https://api.github.com/repos/moment/moment/issues/6187,open,2023-11-03,2023-12-16,,23410a56b2bc5e66bdb9afae29251ce07922cc70
mowglimecha9,https://api.github.com/repos/moment/moment/pulls/6186,https://api.github.com/repos/moment/moment/issues/6186,closed,2023-11-03,2023-11-03,,d45eba2da54ffe7099da3397764dc2b1c795beab
mkmayer,https://api.github.com/repos/moment/moment/pulls/6185,https://api.github.com/repos/moment/moment/issues/6185,closed,2023-10-31,2023-12-16,,5051d2878aab03f97bed19614e9830880b50a432
thanhminhmr,https://api.github.com/repos/moment/moment/pulls/6176,https://api.github.com/repos/moment/moment/issues/6176,closed,2023-10-11,2023-12-24,,c2c596c270e54051f7942c27e5f1d75c5d0e118b
SiDD-sIngH,https://api.github.com/repos/moment/moment/pulls/6175,https://api.github.com/repos/moment/moment/issues/6175,open,2023-10-04,2023-12-16,,f97690277ed9b4e09277ceca76d580e89df5d6d4
yulodl,https://api.github.com/repos/moment/moment/pulls/6169,https://api.github.com/repos/moment/moment/issues/6169,closed,2023-09-06,2023-12-26,,6349114a6566916fb3657b8c3d1d90d01702abc6
bs-divy-jain,https://api.github.com/repos/moment/moment/pulls/6168,https://api.github.com/repos/moment/moment/issues/6168,closed,2023-09-05,2023-09-05,,898838b61db44ac8d2340a64bf5c66bd9bd4f9c0
Ajinkya-2607,https://api.github.com/repos/moment/moment/pulls/6166,https://api.github.com/repos/moment/moment/issues/6166,open,2023-08-31,2023-12-25,,f698e2a1b33005e3895453a9d323045a4b2b01a0
Ajinkya-2607,https://api.github.com/repos/moment/moment/pulls/6164,https://api.github.com/repos/moment/moment/issues/6164,closed,2023-08-29,2023-12-16,,a8767f766a32c65f8099240f95a059f6b63277e1
0Ncoder0,https://api.github.com/repos/moment/moment/pulls/6156,https://api.github.com/repos/moment/moment/issues/6156,closed,2023-08-25,2024-02-23,,02695ab7806148157677d8b5bb1803776a35b295
reyostallenberg,https://api.github.com/repos/moment/moment/pulls/6155,https://api.github.com/repos/moment/moment/issues/6155,open,2023-08-24,2023-12-18,,f47b93a4d71a334c6b07cc0b8f502c0c82333260
AlanD20,https://api.github.com/repos/moment/moment/pulls/6152,https://api.github.com/repos/moment/moment/issues/6152,closed,2023-08-17,2023-08-17,,fcd501bad24d9ce3e52db03856f464188674f83f
levinbaria,https://api.github.com/repos/moment/moment/pulls/6151,https://api.github.com/repos/moment/moment/issues/6151,open,2023-08-16,2023-12-16,,648c57ab4dc6e2c5e7c2fb1203db507a88213ab2
martinjack,https://api.github.com/repos/moment/moment/pulls/6129,https://api.github.com/repos/moment/moment/issues/6129,closed,2023-05-09,2023-12-16,,45dd1a84a0d3d01d66a5d775ad28d4a864f10487
Tobi-Adeneye,https://api.github.com/repos/moment/moment/pulls/6128,https://api.github.com/repos/moment/moment/issues/6128,closed,2023-05-08,2023-12-16,,7e06194c80cf1313f217cdf514a531f4557c26bd
Tobi-Adeneye,https://api.github.com/repos/moment/moment/pulls/6127,https://api.github.com/repos/moment/moment/issues/6127,closed,2023-05-08,2023-12-16,,54853c4ca8bacd3098c83926ced27d52c05f2fad
zju1,https://api.github.com/repos/moment/moment/pulls/6126,https://api.github.com/repos/moment/moment/issues/6126,open,2023-05-05,2023-12-16,,198e5bc69cb4b80f7788af98fd681955f442a0e7
federicocappellotto97,https://api.github.com/repos/moment/moment/pulls/6125,https://api.github.com/repos/moment/moment/issues/6125,closed,2023-05-04,2023-12-16,,09d486a524b5b09a2555687f9f0b83f07a758516
danielschuetter,https://api.github.com/repos/moment/moment/pulls/6123,https://api.github.com/repos/moment/moment/issues/6123,closed,2023-04-25,2023-04-25,,2d99c6b26dbd0f3b78de0de71c681f87ff6efba0
sanchej,https://api.github.com/repos/moment/moment/pulls/6121,https://api.github.com/repos/moment/moment/issues/6121,closed,2023-04-18,2023-12-16,,9f5ac0bb26bd7aa5bfd8eb4d25b123c9d4981ca5
mrleblanc101,https://api.github.com/repos/moment/moment/pulls/6110,https://api.github.com/repos/moment/moment/issues/6110,open,2023-03-28,2024-02-18,,bc5c969732b9a34dff3b987e550cc2f4864218e3
idoodler,https://api.github.com/repos/moment/moment/pulls/6101,https://api.github.com/repos/moment/moment/issues/6101,open,2023-02-14,2023-12-16,,2bbd868ae1248f04db0ad1f02d6af0cb5411aa3f
zzztttkkk,https://api.github.com/repos/moment/moment/pulls/6097,https://api.github.com/repos/moment/moment/issues/6097,closed,2023-01-31,2023-02-01,,e86e48c002c6cb3aa9f9560509833b964e1c992e
Zukhrik,https://api.github.com/repos/moment/moment/pulls/6094,https://api.github.com/repos/moment/moment/issues/6094,open,2023-01-25,2023-12-16,,85c14f520fa895d90620a067c2712c4b7bca55fa
Zukhrik,https://api.github.com/repos/moment/moment/pulls/6093,https://api.github.com/repos/moment/moment/issues/6093,closed,2023-01-25,2023-01-25,,7c39264732c0f4ac82c1815d8c98216804e01eb3
anandfresh,https://api.github.com/repos/moment/moment/pulls/6086,https://api.github.com/repos/moment/moment/issues/6086,closed,2023-01-10,2023-12-26,,eec3cfbb52e57e136eced34e0bf115b30871218c
thomassth,https://api.github.com/repos/moment/moment/pulls/6069,https://api.github.com/repos/moment/moment/issues/6069,closed,2022-11-24,2022-11-24,,8249764d86421f7aa1d2486fed83f16ae3c1347a
CalbazaAlex,https://api.github.com/repos/moment/moment/pulls/6068,https://api.github.com/repos/moment/moment/issues/6068,open,2022-11-15,2023-12-16,,2416fda6d98f11aba51a4943bdb540a3d8384082
ChALkeR,https://api.github.com/repos/moment/moment/pulls/6067,https://api.github.com/repos/moment/moment/issues/6067,closed,2022-11-14,2023-12-16,,7d9b189050856a2a0d7c68b6a9a9def0c684e656
avireni,https://api.github.com/repos/moment/moment/pulls/6066,https://api.github.com/repos/moment/moment/issues/6066,open,2022-11-11,2023-12-16,,780eb793909c0f654f037afa2e3c235718928cf8
indexxd,https://api.github.com/repos/moment/moment/pulls/6063,https://api.github.com/repos/moment/moment/issues/6063,closed,2022-11-04,2023-12-25,,9dbd127cedd520f938bad667ece9544e056258fa
marioparris-qless,https://api.github.com/repos/moment/moment/pulls/6061,https://api.github.com/repos/moment/moment/issues/6061,closed,2022-10-27,2022-10-27,,b57f269734541d6d8bfdbdaef9d6b39747c326bc
richardk88,https://api.github.com/repos/moment/moment/pulls/6057,https://api.github.com/repos/moment/moment/issues/6057,closed,2022-10-18,2022-10-18,,2e18b5853f2440ab4f653729607d9930cb3f2111
qzoke,https://api.github.com/repos/moment/moment/pulls/6055,https://api.github.com/repos/moment/moment/issues/6055,closed,2022-10-06,2023-12-26,,4d9908e80588c8f5b3715a90efab730a65ad2994
bdnswl,https://api.github.com/repos/moment/moment/pulls/6053,https://api.github.com/repos/moment/moment/issues/6053,closed,2022-10-03,2022-11-08,,a5e769a30463eee70e2f202365610bd123001bca
kruczyna,https://api.github.com/repos/moment/moment/pulls/6051,https://api.github.com/repos/moment/moment/issues/6051,closed,2022-10-01,2023-12-16,,60bcaba0d661a45b5e33e569a217cc745a8222fa
asadullakkh,https://api.github.com/repos/moment/moment/pulls/6047,https://api.github.com/repos/moment/moment/issues/6047,closed,2022-09-19,2022-10-07,,be40c465117d5bc98df5df2bb7f3b133721ed6ec
Watemlifts,https://api.github.com/repos/moment/moment/pulls/6039,https://api.github.com/repos/moment/moment/issues/6039,closed,2022-08-12,2023-12-26,,3cc7f9c95af431873c1b0e94d149083e4761b3a9
Watemlifts,https://api.github.com/repos/moment/moment/pulls/6038,https://api.github.com/repos/moment/moment/issues/6038,closed,2022-08-12,2023-12-16,,
tansan-dev,https://api.github.com/repos/moment/moment/pulls/6029,https://api.github.com/repos/moment/moment/issues/6029,open,2022-07-22,2023-12-17,,1af13b411e5bedf09974c687441f4d9bd038d8f0
yvettep321,https://api.github.com/repos/moment/moment/pulls/6023,https://api.github.com/repos/moment/moment/issues/6023,closed,2022-07-10,2023-12-26,,1e3267bb7ca061c2f59d3c09850ea31ba50e6c88
OndrejHj04,https://api.github.com/repos/moment/moment/pulls/6018,https://api.github.com/repos/moment/moment/issues/6018,closed,2022-06-24,2022-06-24,,a94f8dd7663c66c9b5c92092e2ffe5559d2fdabc
vovikhangcdv,https://api.github.com/repos/moment/moment/pulls/6015,https://api.github.com/repos/moment/moment/issues/6015,closed,2022-06-08,2022-07-08,2022-07-06,7aebb1617fc9bced87ab6bc4c317644019b23ce7
vovikhangcdv,https://api.github.com/repos/moment/moment/pulls/6013,https://api.github.com/repos/moment/moment/issues/6013,closed,2022-06-07,2022-06-08,,638d1513967e09050512ec04ebdff05741632418
marleneheinzle,https://api.github.com/repos/moment/moment/pulls/6011,https://api.github.com/repos/moment/moment/issues/6011,open,2022-06-02,2023-01-10,,2e35708ccf1a90d2584c16664ca3ff19f3257b86
roj1512,https://api.github.com/repos/moment/moment/pulls/6010,https://api.github.com/repos/moment/moment/issues/6010,closed,2022-05-30,2023-12-16,,0c371471072154910afb9bb65a08e4be1c84d6cf
roj1512,https://api.github.com/repos/moment/moment/pulls/6006,https://api.github.com/repos/moment/moment/issues/6006,closed,2022-05-17,2022-05-30,,1f14b8b9ca6906d7c304c5a67abed511198a2b94
hanifhefaz,https://api.github.com/repos/moment/moment/pulls/6000,https://api.github.com/repos/moment/moment/issues/6000,open,2022-04-24,2023-12-24,,0b4d4612585a0dfc4f7a6c272b29e17c9c82daf2
romaten1,https://api.github.com/repos/moment/moment/pulls/5997,https://api.github.com/repos/moment/moment/issues/5997,closed,2022-04-18,2022-04-18,,dd8bc11a580473a8e23f260c3960ecba97e2914f
theboolean,https://api.github.com/repos/moment/moment/pulls/5995,https://api.github.com/repos/moment/moment/issues/5995,closed,2022-04-11,2022-05-18,2022-04-17,c5b23348783dfecc8203446b2dad57c8a55501ff
jonashenrique90,https://api.github.com/repos/moment/moment/pulls/5993,https://api.github.com/repos/moment/moment/issues/5993,closed,2022-04-09,2023-12-24,,e81585007207dc4f5c32a0631511f6f19cd9b39c
attritionorg,https://api.github.com/repos/moment/moment/pulls/5990,https://api.github.com/repos/moment/moment/issues/5990,closed,2022-04-05,2022-07-07,2022-04-17,a64970db92b3092547ee055d7121c2963dd155e0
EdenEdk,https://api.github.com/repos/moment/moment/pulls/5987,https://api.github.com/repos/moment/moment/issues/5987,closed,2022-04-05,2023-12-17,,4e36c2cf8b448b6966fdc99bc24d6431038623a4
DiscoNova,https://api.github.com/repos/moment/moment/pulls/5972,https://api.github.com/repos/moment/moment/issues/5972,closed,2022-01-25,2023-12-24,,d9ed647dc40d03f99f2c76a4f7587eecad04e7cb
DiscoNova,https://api.github.com/repos/moment/moment/pulls/5971,https://api.github.com/repos/moment/moment/issues/5971,closed,2022-01-25,2022-01-25,,52a9abc6eb880977a074685a9ec40ce73dc1a202
DiscoNova,https://api.github.com/repos/moment/moment/pulls/5970,https://api.github.com/repos/moment/moment/issues/5970,closed,2022-01-24,2022-01-25,,8b891f3f19e91b81dde1b6f663aad37edf58efa5
CYAXXX,https://api.github.com/repos/moment/moment/pulls/5968,https://api.github.com/repos/moment/moment/issues/5968,closed,2022-01-21,2022-05-17,,a3e842c95ecd5f0866166bfce8884cae3430f3d2
raimondlume,https://api.github.com/repos/moment/moment/pulls/5965,https://api.github.com/repos/moment/moment/issues/5965,closed,2022-01-12,2022-01-12,,cf160c2e93ddacbd37aac7e1bb13ff8fa724fa48
TheMauricelux,https://api.github.com/repos/moment/moment/pulls/5959,https://api.github.com/repos/moment/moment/issues/5959,closed,2021-12-13,2021-12-15,,0fce8403ca74d71f3d9c27e020c300cb562e28e5
mergehez,https://api.github.com/repos/moment/moment/pulls/5949,https://api.github.com/repos/moment/moment/issues/5949,closed,2021-10-24,2023-12-24,,e11170c89dad0bfa022144e00deb93fc14dc5acf
webinoo,https://api.github.com/repos/moment/moment/pulls/5943,https://api.github.com/repos/moment/moment/issues/5943,closed,2021-10-06,2021-10-06,,f7cb3cd53eb0d6e13e8b733a5cbb0113a6c31bb2
guimap,https://api.github.com/repos/moment/moment/pulls/5934,https://api.github.com/repos/moment/moment/issues/5934,closed,2021-09-16,2023-12-24,,6473db7891e1cbc8e36d8a28c31353f58b5bb165
guimap,https://api.github.com/repos/moment/moment/pulls/5932,https://api.github.com/repos/moment/moment/issues/5932,closed,2021-09-16,2021-09-16,,ccbbc4d3c024aa1da28469e98e92d98c881ce4e2
TonyBogdanov,https://api.github.com/repos/moment/moment/pulls/5930,https://api.github.com/repos/moment/moment/issues/5930,closed,2021-09-10,2022-11-29,,2b18a24b59f3379181e6b048add8d1194f95604c
CYAXXX,https://api.github.com/repos/moment/moment/pulls/5924,https://api.github.com/repos/moment/moment/issues/5924,closed,2021-08-19,2022-01-21,,441ccaa95e109753f40ddb6a1c6794ef879cd99f
nobiit,https://api.github.com/repos/moment/moment/pulls/5912,https://api.github.com/repos/moment/moment/issues/5912,open,2021-07-15,2023-12-24,,0a5dbaf09395e02a07cd21f75d6ad2e80eed551f
weaseldotro,https://api.github.com/repos/moment/moment/pulls/5906,https://api.github.com/repos/moment/moment/issues/5906,closed,2021-06-28,2023-12-26,,a4f998870d85ed9e41e29989bcc2c9e4bf824bbc
