user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
kuri-sun,https://api.github.com/repos/nextui-org/nextui/pulls/2451,https://api.github.com/repos/nextui-org/nextui/issues/2451,closed,2024-03-05,2024-03-05,,35ebb300ba595e21a8bbb9f69eba68e14e9a54f6
wingkwong,https://api.github.com/repos/nextui-org/nextui/pulls/2450,https://api.github.com/repos/nextui-org/nextui/issues/2450,closed,2024-03-05,2024-03-05,2024-03-05,0a9982d3efe6ac8dfc25438f21598c8fe53de4db
wingkwong,https://api.github.com/repos/nextui-org/nextui/pulls/2447,https://api.github.com/repos/nextui-org/nextui/issues/2447,closed,2024-03-05,2024-03-05,2024-03-05,65f48135d60b92c35722ad6120cf7b1c6a3e9cbe
alphaxek,https://api.github.com/repos/nextui-org/nextui/pulls/2444,https://api.github.com/repos/nextui-org/nextui/issues/2444,open,2024-03-04,2024-03-05,,72b7e602e51b43c2815bb94d4862adae77ad99ca
alphaxek,https://api.github.com/repos/nextui-org/nextui/pulls/2443,https://api.github.com/repos/nextui-org/nextui/issues/2443,closed,2024-03-04,2024-03-05,2024-03-05,1d32bf8f1e9be17addbe992dbafe458ce36b5c02
github-actions[bot],https://api.github.com/repos/nextui-org/nextui/pulls/2441,https://api.github.com/repos/nextui-org/nextui/issues/2441,open,2024-03-04,2024-03-04,,19c736dee16c2e505f5acfe04e970ab54ce5e182
robinsmith-source,https://api.github.com/repos/nextui-org/nextui/pulls/2439,https://api.github.com/repos/nextui-org/nextui/issues/2439,open,2024-03-04,2024-03-04,,07a37c1b600c8fe17f1c86c8f19c1b2bb21115e5
jrgarciadev,https://api.github.com/repos/nextui-org/nextui/pulls/2438,https://api.github.com/repos/nextui-org/nextui/issues/2438,closed,2024-03-03,2024-03-03,2024-03-03,5528ccd042de7703ba923a6870d9aa9d928b6a6b
wingkwong,https://api.github.com/repos/nextui-org/nextui/pulls/2437,https://api.github.com/repos/nextui-org/nextui/issues/2437,closed,2024-03-03,2024-03-04,2024-03-04,f864dc3974993b29ea5048483d7e0e998e8bef56
wingkwong,https://api.github.com/repos/nextui-org/nextui/pulls/2436,https://api.github.com/repos/nextui-org/nextui/issues/2436,closed,2024-03-03,2024-03-03,,ffcc0ad0e3b991f89eb3c837a3da35e2166284ca
kuri-sun,https://api.github.com/repos/nextui-org/nextui/pulls/2435,https://api.github.com/repos/nextui-org/nextui/issues/2435,closed,2024-03-03,2024-03-03,2024-03-03,9b27da544e950cdb2bccd2d1a57ead772fd10dc1
ImFirstPlace,https://api.github.com/repos/nextui-org/nextui/pulls/2431,https://api.github.com/repos/nextui-org/nextui/issues/2431,open,2024-03-02,2024-03-05,,94ff8309a20100762366b4b870cc8627acce43f1
wingkwong,https://api.github.com/repos/nextui-org/nextui/pulls/2429,https://api.github.com/repos/nextui-org/nextui/issues/2429,open,2024-03-02,2024-03-05,,2f8194aa786a5788eb4f5d8e6d41f139f5de9858
sudongyuer,https://api.github.com/repos/nextui-org/nextui/pulls/2428,https://api.github.com/repos/nextui-org/nextui/issues/2428,open,2024-03-02,2024-03-04,,3eff4e7d498835d8e348eef6fa5a054206601c55
