user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3514,https://api.github.com/repos/piskvorky/gensim/issues/3514,open,2024-03-01,2024-03-01,,f8082a901609777387452e18e59d6cd6840c926b
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3513,https://api.github.com/repos/piskvorky/gensim/issues/3513,open,2024-03-01,2024-03-01,,eb833d134723854cb9a16f92c2496b6df23035d8
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3508,https://api.github.com/repos/piskvorky/gensim/issues/3508,closed,2024-01-01,2024-02-08,2024-02-08,b59cd8fa1e0b0c92db5a842605e7a50ec2421288
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3507,https://api.github.com/repos/piskvorky/gensim/issues/3507,closed,2024-01-01,2024-02-08,2024-02-08,0b8a63267ff2963a60a3b8aa358bdb0e73686d73
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3506,https://api.github.com/repos/piskvorky/gensim/issues/3506,closed,2024-01-01,2024-02-08,2024-02-08,e7b441b87a967e22668a2365bcb60a13e9496215
wittyicon29,https://api.github.com/repos/piskvorky/gensim/pulls/3505,https://api.github.com/repos/piskvorky/gensim/issues/3505,open,2023-12-02,2023-12-02,,083355c0a9da1a18470988cb00b1915122d1bd6b
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3503,https://api.github.com/repos/piskvorky/gensim/issues/3503,closed,2023-11-01,2024-03-01,,91bb36a019315f336f9e25a0956fdba0fb2c3b9f
nk-fouque,https://api.github.com/repos/piskvorky/gensim/pulls/3502,https://api.github.com/repos/piskvorky/gensim/issues/3502,open,2023-10-31,2023-10-31,,0947b4c9d975567dea2d864fd53981c47cd6ae25
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3499,https://api.github.com/repos/piskvorky/gensim/issues/3499,closed,2023-10-01,2023-10-01,2023-10-01,6e7ec6a4d8801095dd6084b18da72db2f2b8ac78
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3498,https://api.github.com/repos/piskvorky/gensim/issues/3498,closed,2023-10-01,2023-10-01,2023-10-01,ba788bd383d7cd9a67fe78234c779243a45d1d8d
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3497,https://api.github.com/repos/piskvorky/gensim/issues/3497,closed,2023-10-01,2023-10-01,2023-10-01,cd29332137810d6846bd7165330414a1e0a60348
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3494,https://api.github.com/repos/piskvorky/gensim/issues/3494,closed,2023-09-01,2023-10-01,,2815cdd74ac29d824c03071910b75457116c5eaf
mpenkov,https://api.github.com/repos/piskvorky/gensim/pulls/3488,https://api.github.com/repos/piskvorky/gensim/issues/3488,closed,2023-08-22,2023-08-23,2023-08-23,73e8b6aad17fc935c3ae354d0515396e4871e252
mpenkov,https://api.github.com/repos/piskvorky/gensim/pulls/3487,https://api.github.com/repos/piskvorky/gensim/issues/3487,closed,2023-08-21,2023-08-23,,61388be763688fb55966e2463483c1dce64665c0
dependabot[bot],https://api.github.com/repos/piskvorky/gensim/pulls/3483,https://api.github.com/repos/piskvorky/gensim/issues/3483,closed,2023-07-01,2023-08-21,2023-08-21,360ac10a7450fcf28bafacf6351cf5dbe20603fd
