user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
frederik-b,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/154,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/154,closed,2023-12-01,2023-12-01,2023-12-01,43977cf990a4af509a758a4e9a6af40f4485d34d
Sahil1786,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/153,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/153,closed,2023-10-17,2023-10-18,2023-10-18,11945c7fea392b54af0388216af6800f0dc8005e
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/152,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/152,closed,2023-10-16,2023-10-17,2023-10-17,8f6fac1328d6624dbaf5c9dad8abf87cc72372ba
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/151,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/151,closed,2023-10-12,2023-10-12,2023-10-12,077412cb7317e6c9d61a0ba48604df1a509ec571
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/150,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/150,closed,2023-08-06,2023-10-12,,310b8f5a7a0c3f6996087ffb09fa20e70173c29e
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/149,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/149,closed,2023-08-06,2023-10-12,,b203ce8c8ce9a5e6a24569aa0fe0f567a1580f80
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/148,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/148,closed,2023-08-06,2023-10-12,2023-10-12,e662d6c54a20ce21e1377ad14c81d348b9e0db9d
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/147,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/147,closed,2023-08-06,2023-10-12,2023-10-12,04f8518343bb83b57fa36845d835a9da5eb55635
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/146,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/146,closed,2023-08-06,2023-08-06,2023-08-06,961df3d2a5ef95d3173e3da4843c46f90d6e8e72
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/145,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/145,closed,2023-08-06,2023-08-06,2023-08-06,11b396c7dc6cd260a9eb05d7f728206e96504d75
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/144,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/144,closed,2023-08-06,2023-08-06,2023-08-06,16fb228aea7e2fbd64b89a627e9b06c5156c8771
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/143,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/143,closed,2023-08-06,2023-08-06,2023-08-06,eef4cebb814d966d3d470ae042c22448e84bbec8
mojoaxel,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/141,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/141,closed,2023-03-10,2023-03-23,2023-03-23,cddf08294c43ed04802eec0ce1afc0d835310911
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/140,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/140,closed,2023-02-28,2023-08-06,2023-08-06,e7a2fe11210a86f76bd7bad993b47caf2ec0567c
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/138,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/138,closed,2023-01-09,2023-08-06,2023-08-06,2a66ca92665051780abace8a017a2275bff5b952
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/137,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/137,closed,2023-01-09,2023-01-09,,e3995c52bc40805874c09790374b2b2f2a50ac10
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/136,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/136,open,2023-01-04,2023-08-06,,cda6f6eb10ea7089042d89744506e487b8f988f2
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/135,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/135,closed,2022-12-29,2023-01-04,,5d179b7901bf1a80b0925e7e013d0d098d1d466b
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/134,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/134,closed,2022-12-08,2023-08-06,2023-08-06,a2904aaa227323f732f699a94366d9fff8db7e1c
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/133,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/133,closed,2022-12-02,2023-08-06,2023-08-06,464fa66bbc72e741bd0e7645a45ea98ee07d2442
strawberry-choco,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/132,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/132,open,2022-10-05,2022-10-05,,a089667a990eebb9f15321a789c1d5d50a05de5b
mynnx,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/131,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/131,closed,2022-09-12,2023-08-01,,3e2cdb0b99dbc06742304fd7829cf68b45313154
SukkaW,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/130,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/130,closed,2022-08-31,2022-09-20,2022-09-20,1970ec09be6cdb1f9409d3ca2527e104924f7e74
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/129,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/129,closed,2022-07-06,2023-08-06,2023-08-06,1ce7c080821b1ad09d2702f5fb464563d9821561
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/128,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/128,closed,2022-04-28,2023-08-06,2023-08-06,f419da084509a11f85cf9f9fac9a3594ed9c06cc
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/127,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/127,closed,2022-04-09,2022-07-06,,bbdc6baeb2e2d9933298aa3121f911c6aa00ebba
smknstd,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/125,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/125,closed,2022-03-17,2022-09-20,2022-09-20,36458572698e92103f6489a411af059f4d95ca96
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/123,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/123,closed,2022-02-11,2023-08-06,2023-08-06,71a08946b7c2ac66bd72a7cf5de1d1df9f30cba9
jonatjano,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/120,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/120,closed,2021-10-26,2022-01-13,2022-01-13,96815d32a75ca8ad429e029477b6831c52a520c1
loganvolkers,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/119,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/119,closed,2021-09-21,2021-10-12,2021-10-12,523ffacffaf223170742f58d13f5c6925c0d96c4
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/118,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/118,closed,2021-09-20,2021-10-12,2021-10-12,879fe909a984e30c1c58e3841ed89996e14550ec
the9000,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/117,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/117,closed,2021-09-19,2021-09-19,2021-09-19,aba518d808b4fdd6acd57cc638cbc64afd43cd60
runarberg,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/116,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/116,closed,2021-09-18,2021-09-19,2021-09-19,2057a6c9f0a5968aeaef484aa697e0cf55e6c0f6
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/115,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/115,closed,2021-08-10,2021-08-18,2021-08-18,f92702930fa3a2cfc33b48f3676964be55035303
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/114,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/114,closed,2021-07-10,2021-07-10,2021-07-10,4314409feee4eca7637737bb4962068874c03150
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/113,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/113,closed,2021-05-09,2021-07-10,2021-07-10,8554e247db58f6170c077be82f3481c13e437fcd
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/112,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/112,closed,2021-05-07,2021-07-10,2021-07-10,e7b18284513309492112344875ef3ba408fd5198
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/111,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/111,closed,2021-05-06,2021-07-10,2021-07-10,4c3df2dad894e080b146b41e55e41e0e54c4532f
leafac,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/110,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/110,closed,2021-04-12,2021-09-19,2021-09-19,387b1902c2c2c16d6069193a5eb8b4731965e684
dependabot[bot],https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/109,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/109,closed,2021-03-30,2021-07-10,2021-07-10,9f1c6583aef64c8eec070a1b984dc4ac8578f10b
cht8687,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/106,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/106,closed,2021-02-05,2021-02-05,2021-02-05,ae01d9fdc3b3780e136dc9060a667cce3b403628
Jogai,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/pulls/102,https://api.github.com/repos/you-dont-need/You-Dont-Need-Momentjs/issues/102,closed,2020-12-18,2021-02-08,2021-02-08,f2e2eb6e302a5371d39b568e6fe46ab731071c8d
