created_at,pull_requests
2015-10-07,3
2015-10-09,3
2015-10-10,3
2015-10-11,1
2015-10-14,1
2015-10-20,2
2015-10-22,1
2015-10-23,2
2015-10-26,3
2015-10-29,1
2015-10-31,2
2015-11-02,1
2015-11-03,1
2015-11-04,1
2015-11-05,1
2015-11-06,2
2015-11-07,1
2015-11-08,2
2015-11-09,3
2015-11-11,1
2015-11-12,1
2015-11-13,2
2015-11-14,1
2015-11-15,1
2015-11-17,1
2015-11-18,3
2015-11-20,1
2015-11-21,2
2015-11-24,1
2015-11-30,1
2015-12-03,1
2015-12-12,1
2015-12-16,1
2015-12-18,1
2015-12-21,1
2015-12-30,1
2016-01-11,1
2016-01-15,1
2016-02-01,1
2016-02-04,1
2016-02-09,1
2016-02-10,1
2016-02-17,1
2016-02-24,1
2016-03-02,1
2016-03-14,2
2016-03-17,1
2016-03-19,1
2016-03-20,1
2016-03-23,1
2016-03-26,1
2016-03-27,1
2016-04-06,1
2016-04-07,1
2016-04-08,1
2016-04-12,1
2016-04-15,1
2016-04-21,3
2016-04-23,2
2016-04-24,1
2016-04-27,2
2016-04-28,6
2016-05-04,1
2016-05-10,1
2016-05-12,1
2016-05-13,1
2016-05-14,1
2016-05-15,4
2016-05-16,1
2016-05-17,1
2016-05-18,4
2016-05-19,1
2016-05-20,1
2016-05-21,3
2016-05-25,1
2016-05-29,3
2016-06-03,1
2016-06-08,1
2016-06-10,1
2016-06-11,1
2016-06-13,2
2016-06-21,1
2016-06-22,1
2016-06-26,1
2016-06-28,3
2016-06-29,2
2016-06-30,1
2016-07-20,1
2016-07-21,1
2016-07-23,2
2016-07-31,1
2016-08-10,1
2016-08-11,1
2016-08-18,1
2016-08-20,1
2016-09-05,1
2016-09-08,1
2016-09-12,1
2016-09-13,1
2016-09-21,1
2016-09-23,1
2016-09-27,1
2016-10-03,2
2016-10-04,1
2016-10-19,1
2016-10-28,1
2016-10-31,1
2016-11-05,1
2016-11-07,1
2016-11-11,2
2016-11-13,1
2016-11-20,1
2016-11-22,1
2016-11-24,1
2016-11-28,2
2016-12-06,1
2016-12-12,1
2016-12-13,4
2016-12-23,1
2016-12-24,3
2017-01-04,1
2017-01-09,2
2017-01-27,1
2017-01-28,1
2017-01-29,1
2017-01-30,2
