created_at,pull_requests
2019-04-30,1
2019-05-05,2
2019-05-06,4
2019-05-07,1
2019-05-08,2
2019-05-09,3
2019-05-12,1
2019-05-14,2
2019-05-15,1
2019-05-16,1
2019-05-17,1
2019-05-20,1
2019-05-21,1
2019-05-23,2
2019-05-27,1
2019-05-28,2
2019-05-30,1
2019-06-03,4
2019-06-04,2
2019-06-05,2
2019-06-06,1
2019-06-09,1
2019-06-11,3
2019-06-13,2
2019-06-14,1
2019-06-18,2
2019-06-19,2
2019-06-21,1
2019-06-28,1
2019-07-04,1
2019-07-05,1
2019-07-11,1
2019-07-12,2
2019-07-15,2
2019-07-17,2
2019-07-19,1
2019-07-31,1
2019-08-01,3
2019-08-05,1
2019-08-07,1
2019-08-12,1
2019-08-13,2
2019-08-14,1
2019-08-15,4
2019-08-16,1
2019-08-19,1
2019-08-20,2
2019-08-22,1
2019-08-23,1
2019-08-26,1
2019-08-27,1
2019-08-29,1
2019-09-05,1
2019-09-06,1
2019-09-08,1
2019-09-10,1
2019-09-11,1
2019-09-12,1
2019-09-18,2
2019-09-20,1
2019-09-23,3
2019-09-27,1
2019-09-29,1
2019-09-30,1
2019-10-09,1
2019-10-10,1
2019-10-11,1
2019-10-12,1
2019-10-15,2
2019-10-16,1
2019-10-18,4
2019-10-21,1
2019-10-23,3
2019-10-24,3
2019-10-25,4
2019-10-29,4
2019-10-30,3
2019-10-31,1
2019-11-01,2
2019-11-05,1
2019-11-06,1
2019-11-07,2
2019-11-10,1
2019-11-11,3
2019-11-12,2
2019-11-14,1
2019-11-26,2
2019-12-16,1
2019-12-18,3
2019-12-19,1
2019-12-20,1
2019-12-26,2
2020-01-08,1
2020-01-09,1
2020-01-10,2
2020-01-13,1
2020-01-14,2
2020-01-15,1
2020-02-04,1
2020-02-06,1
2020-02-11,1
2020-02-19,1
2020-02-21,2
2020-02-26,1
2020-02-27,1
2020-02-28,2
2020-02-29,1
2020-03-10,1
2020-03-11,1
2020-03-15,1
2020-03-17,2
2020-03-20,3
2020-03-25,2
2020-03-26,1
2020-03-30,1
2020-03-31,1
2020-04-01,2
2020-04-02,2
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,5
2020-04-10,2
2020-04-14,1
2020-04-17,2
2020-04-20,3
2020-04-21,2
2020-04-22,2
2020-04-27,1
2020-04-28,3
2020-05-06,2
2020-05-07,1
2020-05-08,1
2020-05-09,3
2020-05-11,2
2020-05-12,2
2020-05-13,1
2020-05-18,1
2020-05-19,2
2020-05-20,1
2020-05-25,2
2020-05-28,1
2020-05-29,1
2020-06-01,4
2020-06-03,3
2020-06-04,2
2020-06-08,2
2020-06-09,2
2020-06-10,1
2020-06-11,3
2020-06-12,1
2020-06-17,1
2020-06-18,2
2020-06-22,2
2020-06-24,1
2020-06-25,1
2020-06-29,1
2020-06-30,3
2020-07-03,2
2020-07-06,3
2020-07-10,2
2020-07-15,1
2020-07-17,1
2020-07-20,1
2020-07-23,2
2020-07-29,1
2020-07-30,2
2020-07-31,1
2020-08-01,2
2020-08-04,2
2020-08-06,2
2020-08-07,1
2020-08-08,1
2020-08-10,4
2020-08-11,2
2020-08-12,2
2020-08-13,2
2020-08-14,1
2020-08-19,1
2020-08-20,4
2020-08-21,6
2020-08-23,1
2020-08-25,2
2020-08-27,1
2020-09-01,1
2020-09-02,2
2020-09-03,2
2020-09-04,1
2020-09-07,2
2020-09-09,1
2020-09-10,2
2020-09-11,1
2020-09-16,1
2020-09-21,4
2020-09-22,1
2020-09-24,2
2020-09-25,3
2020-10-10,1
2020-10-14,2
2020-10-15,1
2020-10-16,2
2020-10-19,1
2020-10-20,2
2020-10-22,3
2020-10-28,3
2020-11-02,1
