created_at,pull_requests
2012-06-06,1
2012-06-07,1
2012-11-19,1
2012-11-27,1
2012-12-30,1
2013-01-03,1
2013-01-13,1
2013-02-20,1
2013-03-19,1
2013-04-07,1
2013-05-08,1
2013-05-16,1
2013-08-09,1
2013-10-01,1
2013-10-18,2
2013-11-08,1
2013-11-21,3
2013-11-24,1
2013-11-26,1
2013-12-11,1
2014-01-05,1
2014-01-06,1
2014-02-12,1
2014-02-24,1
2014-03-12,1
2014-03-23,1
2014-03-27,1
2014-04-01,1
2014-05-07,5
2014-05-15,1
2014-05-23,2
2014-06-13,1
2014-07-13,1
2014-08-20,2
2014-08-22,1
2014-09-10,1
2014-10-13,2
2014-10-20,1
2014-11-19,1
2014-11-26,1
2014-12-01,1
2014-12-05,1
2014-12-12,1
2014-12-17,2
2015-01-24,2
2015-03-04,1
2015-03-05,1
2015-03-22,1
2015-03-25,1
2015-04-01,1
2015-04-10,2
2015-04-18,1
2015-05-04,1
2015-06-03,1
2015-07-13,1
2015-07-20,1
2015-08-10,1
2015-08-26,1
2015-09-06,1
2015-09-08,1
2015-09-09,1
2015-09-12,1
2015-09-15,1
2015-09-18,1
2015-09-23,1
2015-09-30,1
2015-10-10,1
2015-10-16,1
2015-10-18,1
2015-10-29,2
2015-11-02,1
2015-11-03,1
2015-11-04,3
2015-11-05,1
2015-11-06,1
2015-11-07,2
2015-11-09,1
2015-11-11,1
2015-11-20,1
2015-11-25,3
2015-12-02,1
2015-12-06,1
2015-12-07,1
2015-12-14,1
2016-01-11,1
2016-01-15,1
2016-02-06,1
2016-03-01,1
2016-03-15,1
2016-04-22,1
2016-04-26,1
2016-04-28,1
2016-04-29,2
2016-05-10,1
2016-05-17,1
2016-05-31,1
2016-06-13,1
2016-06-30,1
2016-07-01,1
2016-07-14,1
2016-09-26,1
2016-10-02,1
2016-10-08,1
2016-10-13,1
2016-11-18,1
2016-11-27,1
2017-02-22,1
2017-03-14,4
2017-04-08,1
2017-04-21,1
2017-04-29,1
2017-05-08,1
2017-05-12,1
2017-06-11,1
2017-06-20,1
2017-06-21,1
2017-07-17,1
2017-08-17,1
2017-08-21,1
2017-10-14,1
2017-12-26,1
2017-12-29,2
2018-01-02,1
2018-01-12,1
2018-02-05,1
2018-02-08,1
2018-02-15,1
2018-02-21,1
2018-02-24,1
2018-02-26,1
2018-03-15,1
2018-03-31,1
2018-04-20,1
2018-04-23,1
2018-04-27,2
2018-05-17,1
2018-05-21,1
2018-05-27,1
2018-06-03,1
2018-06-12,2
2018-06-18,1
2018-06-28,1
2018-07-12,2
2018-07-14,3
2018-07-18,1
2018-08-14,1
2018-08-20,1
2018-08-29,1
2018-11-10,1
2019-01-22,1
2019-02-08,1
2019-02-09,1
2019-02-11,1
2019-02-12,1
2019-02-15,1
2019-02-17,1
2019-03-07,1
2019-03-22,1
2019-03-26,1
2019-03-27,1
2019-04-02,1
2019-04-12,1
2019-04-15,1
2019-04-16,1
2019-04-17,1
2019-04-19,1
2019-04-22,1
2019-04-24,2
2019-04-25,4
2019-04-26,2
2019-05-01,1
2019-05-02,1
2019-05-04,1
2019-05-13,2
2019-05-17,1
2019-05-23,2
2019-06-25,1
2019-07-06,1
2019-08-07,2
2019-08-19,1
2019-08-21,1
2019-09-24,1
2019-10-02,1
2019-10-04,1
2019-10-09,1
2019-10-15,1
2019-10-16,1
2019-10-17,12
2019-10-18,3
2019-10-19,1
2019-10-21,2
2019-10-22,1
2019-10-24,2
2019-10-25,2
2019-10-26,4
2019-10-27,1
2019-10-28,1
2019-10-29,1
2019-10-31,2
2019-11-06,1
2019-11-08,1
2019-12-23,1
2019-12-24,2
2020-01-01,1
2020-01-06,1
2020-01-11,1
2020-02-17,1
2020-02-21,1
2020-02-26,1
2020-02-28,1
2020-03-03,1
2020-03-10,1
2020-03-13,1
2020-03-18,1
2020-03-19,1
2020-03-26,1
2020-04-26,1
2020-05-11,1
2020-05-13,1
2020-06-02,1
2020-06-11,1
2020-07-12,1
2020-07-31,1
2020-08-03,1
2020-08-05,1
2020-08-27,1
2020-08-29,1
2020-10-07,1
2020-10-10,1
2020-10-17,1
2020-11-03,1
2020-11-08,1
2020-11-09,1
2020-12-14,1
2021-01-05,1
2021-01-12,2
2021-01-23,1
2021-01-28,1
2021-03-05,1
2021-03-15,1
2021-03-20,1
2021-03-23,1
2021-04-08,1
2021-04-26,1
2021-04-28,3
2021-05-03,3
2021-05-05,1
2021-05-13,1
2021-05-17,1
2021-05-28,1
2021-06-02,1
2021-06-15,1
2021-07-20,1
2021-08-16,1
2021-08-29,1
2021-09-14,1
2021-09-30,1
2021-10-08,3
2021-10-11,1
2021-10-14,1
2021-11-05,1
2021-11-16,1
2021-11-18,1
2021-11-19,1
2021-12-10,1
2021-12-14,1
2022-01-18,1
2022-01-22,1
2022-01-27,2
2022-01-28,1
2022-04-01,1
2022-06-24,1
2022-07-08,1
2022-07-19,1
2022-08-19,1
2022-09-10,1
2022-11-20,1
2022-11-21,1
2022-11-24,1
2023-01-09,1
2023-01-10,1
2023-01-13,1
2023-01-16,2
2023-01-17,1
2023-01-18,1
2023-03-07,1
2023-03-21,1
2023-09-06,1
2023-09-17,1
2024-02-02,1
2024-02-04,1
2024-02-05,1
2024-02-14,1
