user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
skylayer,https://api.github.com/repos/SteamRE/SteamKit/pulls/1337,https://api.github.com/repos/SteamRE/SteamKit/issues/1337,open,2024-02-22,2024-02-22,,d47ce2c397c49232d3b6b44442f0cc3ac8973251
dependabot[bot],https://api.github.com/repos/SteamRE/SteamKit/pulls/1335,https://api.github.com/repos/SteamRE/SteamKit/issues/1335,open,2024-02-16,2024-02-16,,98179245eb72cbc58f5c862096f1c2a4718b37ea
dependabot[bot],https://api.github.com/repos/SteamRE/SteamKit/pulls/1334,https://api.github.com/repos/SteamRE/SteamKit/issues/1334,open,2024-02-16,2024-02-16,,5700da430c2f77cd09f58032c9a7019e691320b3
LuisFalk,https://api.github.com/repos/SteamRE/SteamKit/pulls/1331,https://api.github.com/repos/SteamRE/SteamKit/issues/1331,open,2024-02-08,2024-02-08,,703f150845392f8b85a7f95d83f77c893cee6ddb
nlavalle,https://api.github.com/repos/SteamRE/SteamKit/pulls/1330,https://api.github.com/repos/SteamRE/SteamKit/issues/1330,closed,2024-02-08,2024-02-08,2024-02-08,08f6b971286c220a4fb5c0566889aac11c667d50
dependabot[bot],https://api.github.com/repos/SteamRE/SteamKit/pulls/1328,https://api.github.com/repos/SteamRE/SteamKit/issues/1328,open,2024-02-07,2024-02-07,,14f8e81600186a63a53a45a0d15546b6ce69b2d8
dependabot[bot],https://api.github.com/repos/SteamRE/SteamKit/pulls/1327,https://api.github.com/repos/SteamRE/SteamKit/issues/1327,closed,2024-02-05,2024-02-05,2024-02-05,54e15f971ba6072465d1d66b72a5d3e6c572acbe
xPaw,https://api.github.com/repos/SteamRE/SteamKit/pulls/1326,https://api.github.com/repos/SteamRE/SteamKit/issues/1326,open,2024-02-05,2024-02-05,,07a83442c56d10dbadbc29aee95f12567122c531
yaakov-h,https://api.github.com/repos/SteamRE/SteamKit/pulls/1325,https://api.github.com/repos/SteamRE/SteamKit/issues/1325,closed,2024-01-31,2024-01-31,2024-01-31,f9f1de39c91c23938c0abe1a48a21501e1324875
dependabot[bot],https://api.github.com/repos/SteamRE/SteamKit/pulls/1324,https://api.github.com/repos/SteamRE/SteamKit/issues/1324,closed,2024-01-22,2024-01-23,2024-01-23,0a6d243f3f5f49eb437908bb922d78a691bd35e3
dependabot[bot],https://api.github.com/repos/SteamRE/SteamKit/pulls/1322,https://api.github.com/repos/SteamRE/SteamKit/issues/1322,closed,2024-01-15,2024-02-05,2024-02-05,bf6986d67b9fca4d8e83b92261210d16450015a7
dependabot[bot],https://api.github.com/repos/SteamRE/SteamKit/pulls/1320,https://api.github.com/repos/SteamRE/SteamKit/issues/1320,closed,2024-01-09,2024-01-10,2024-01-10,cd980f31c575c5ff4b48935dda1b2dc94b18b49d
dependabot[bot],https://api.github.com/repos/SteamRE/SteamKit/pulls/1319,https://api.github.com/repos/SteamRE/SteamKit/issues/1319,closed,2024-01-05,2024-01-07,2024-01-07,4430800a9c7b7df17b5667f668c0e68d492a295d
ilyfairy,https://api.github.com/repos/SteamRE/SteamKit/pulls/1318,https://api.github.com/repos/SteamRE/SteamKit/issues/1318,open,2023-12-28,2024-02-05,,4bdd64edf404907c344ce1a38e387453e9bade98
ilyfairy,https://api.github.com/repos/SteamRE/SteamKit/pulls/1317,https://api.github.com/repos/SteamRE/SteamKit/issues/1317,closed,2023-12-27,2023-12-28,2023-12-28,cb146fcd3e0657384c909520be244e1e8b42e67d
dependabot[bot],https://api.github.com/repos/SteamRE/SteamKit/pulls/1316,https://api.github.com/repos/SteamRE/SteamKit/issues/1316,closed,2023-12-25,2024-01-07,2024-01-07,6e88d3d9091b1bffb3ab2251be94529bda6e06e1
dependabot[bot],https://api.github.com/repos/SteamRE/SteamKit/pulls/1315,https://api.github.com/repos/SteamRE/SteamKit/issues/1315,closed,2023-12-25,2024-01-05,,6258392ecf01f1c32dc67b5674c03f2ff7f5cd98
