user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
miniwolf,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2838,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2838,open,2024-03-05,2024-03-05,,694ba21d9df2fccefcd193e5dcdc584ccdf9ebf4
miniwolf,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2834,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2834,closed,2024-02-28,2024-03-01,2024-03-01,c013f64104a9b02430e4679ff01a282a835d2913
Deprion,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2833,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2833,open,2024-02-27,2024-02-27,,8c333964cfb1b61c3f198855c515b38802842b02
ShadauxCat,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2831,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2831,open,2024-02-21,2024-03-01,,48cfc6c0163fd7c65e0e926715d5b695b270ef6a
SimoGecko,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2830,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2830,open,2024-02-21,2024-02-21,,1705bfca2300b671e22f285a733479bddbe2f4f4
fluong6,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2825,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2825,closed,2024-02-05,2024-02-08,2024-02-08,ade472ed84ecd545ce2c734c0a5e52ab97ce6df6
ShadauxCat,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2824,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2824,closed,2024-02-05,2024-02-26,2024-02-05,eb213838233cbee2030891203bcb72d2354a5a7d
NoelStephensUnity,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2822,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2822,open,2024-02-04,2024-03-01,,213494de2441411ec0b6a2a02cb2a1b5b8d3b995
ShadauxCat,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2820,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2820,open,2024-02-02,2024-03-04,,af1927d2abc914b13327808f2f41357a953977cf
NoelStephensUnity,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2816,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2816,closed,2024-01-25,2024-01-26,2024-01-26,697b078da729964d6fb62cd3cb450a7154931c20
ShadauxCat,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2813,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2813,closed,2024-01-18,2024-02-01,2024-02-01,21a0a1b701cf3dbd4395310295682da9e8964ab1
jeffgamedev,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2812,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2812,open,2024-01-18,2024-02-22,,4f82168fe165a2600f76bdffe5d3353f0847ce6a
NoelStephensUnity,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2810,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2810,closed,2024-01-12,2024-01-17,2024-01-17,adcec184ac67bfac683afbc0769beac241eca307
fluong6,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2809,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2809,closed,2024-01-09,2024-01-10,2024-01-10,073f8612b2f1bb3d7151d399a3d098ab35898cf2
fluong6,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2808,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2808,closed,2024-01-09,2024-01-09,,64edeca869282ba590a7c24fcfeb98d3bb110a78
NoelStephensUnity,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2807,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2807,closed,2024-01-09,2024-01-31,2024-01-13,64ed674c6491a3a94c74bb666e72f39b9a08e554
NoelStephensUnity,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2796,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2796,closed,2023-12-19,2024-02-02,2024-02-02,d58ffb1d5be3633edcc3e4ff0de6f7bbd0869a3d
ShadauxCat,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2792,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2792,closed,2023-12-12,2023-12-13,2023-12-13,1cac76a88eae6cfef2d1cfc7f97a5d32abcf7bd2
NoelStephensUnity,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2791,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2791,closed,2023-12-12,2023-12-13,2023-12-13,53b735c70fba0c5476fe04b6440320bcd61ed195
ShadauxCat,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2790,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2790,closed,2023-12-08,2023-12-09,2023-12-09,fda32b469c1f3d4da60b22db725257393ffa8c63
NoelStephensUnity,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2789,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2789,closed,2023-12-07,2023-12-11,2023-12-11,654e4134f7932644c4e34855e090f6703eb9a966
miniwolf,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2788,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2788,closed,2023-12-06,2023-12-11,2023-12-11,94a2ffcef3f002bb042fcf4f6e965a0c68261b03
simon-lemay-unity,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2786,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2786,closed,2023-12-04,2023-12-08,2023-12-08,01e8738ab91d100edbb8a49c5ab5229865fbdfb6
simon-lemay-unity,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2784,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2784,closed,2023-12-01,2023-12-01,2023-12-01,79b465d228e4c64d6c62773654480820c3fb51bc
ShadauxCat,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2783,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2783,closed,2023-11-30,2023-12-04,2023-12-04,1495e683cb89b93aedb7ed6b5acce01502bb8b27
addfsw,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2782,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2782,closed,2023-11-29,2023-11-29,,52ac6530f597bd39b7abbfedb799be7bdbba7a0e
NoelStephensUnity,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2777,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2777,closed,2023-11-25,2023-12-05,2023-12-05,13d1f8c4248141216607fc41b0af6546a80fa114
ShadauxCat,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/pulls/2773,https://api.github.com/repos/Unity-Technologies/com.unity.netcode.gameobjects/issues/2773,closed,2023-11-20,2023-11-20,2023-11-20,5df824c7588b43c29238a927d14642d5f94129ff
