user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
pnacht,https://api.github.com/repos/akheron/jansson/pulls/672,https://api.github.com/repos/akheron/jansson/issues/672,open,2023-12-06,2023-12-06,,6a88d1bae8d78ef4bce3b986dabcc62d66266f6b
Mephistophiles,https://api.github.com/repos/akheron/jansson/pulls/670,https://api.github.com/repos/akheron/jansson/issues/670,open,2023-11-03,2023-11-03,,1e6aa883bd4a06db57288076d7772239a018745d
Azendale,https://api.github.com/repos/akheron/jansson/pulls/667,https://api.github.com/repos/akheron/jansson/issues/667,open,2023-10-12,2023-10-12,,b79fd68cec447387cac2aef391aba49ef1ab7e51
vimproved,https://api.github.com/repos/akheron/jansson/pulls/666,https://api.github.com/repos/akheron/jansson/issues/666,open,2023-10-12,2023-10-12,,a18245ae4b2b02493aefc12e6b0a4c45b922df5e
DimitriPapadopoulos,https://api.github.com/repos/akheron/jansson/pulls/665,https://api.github.com/repos/akheron/jansson/issues/665,open,2023-10-01,2023-10-01,,bd2a325705d6e5a9cf8efbc0e53aea17637e841b
Andrew-Au,https://api.github.com/repos/akheron/jansson/pulls/664,https://api.github.com/repos/akheron/jansson/issues/664,open,2023-09-28,2023-09-28,,ad1f5f565172faecae76ed3e1bdc31b4a8dd563d
n0-1,https://api.github.com/repos/akheron/jansson/pulls/662,https://api.github.com/repos/akheron/jansson/issues/662,open,2023-09-28,2023-10-13,,b742523d4aa416b105e898a3f17097c47b2c8f38
Panometric,https://api.github.com/repos/akheron/jansson/pulls/661,https://api.github.com/repos/akheron/jansson/issues/661,open,2023-09-27,2023-09-28,,47c03a8d7ee1128062f3051be49d16517bdd39f1
chromhelm,https://api.github.com/repos/akheron/jansson/pulls/658,https://api.github.com/repos/akheron/jansson/issues/658,open,2023-07-29,2023-07-29,,2e029569f7b46d9c07ec7e084120d2369c4b1a9c
chromhelm,https://api.github.com/repos/akheron/jansson/pulls/657,https://api.github.com/repos/akheron/jansson/issues/657,open,2023-07-29,2023-07-29,,14497940518a3e2a14e060cd7b6dc53dd0296bba
danielkempenich,https://api.github.com/repos/akheron/jansson/pulls/656,https://api.github.com/repos/akheron/jansson/issues/656,open,2023-07-20,2023-07-20,,cacdcb63a64a5fc05351f73d9bf8b9045a8427e6
devil-k,https://api.github.com/repos/akheron/jansson/pulls/649,https://api.github.com/repos/akheron/jansson/issues/649,open,2023-05-12,2023-05-12,,df4d0df79c2c7250f74249aa4012bbb314288b5b
Bigpet,https://api.github.com/repos/akheron/jansson/pulls/646,https://api.github.com/repos/akheron/jansson/issues/646,closed,2023-03-29,2023-03-29,2023-03-29,bde28463f843ab5c2bc67a45b85856f646f78a36
uniontech-lilinjie,https://api.github.com/repos/akheron/jansson/pulls/640,https://api.github.com/repos/akheron/jansson/issues/640,closed,2023-01-10,2023-01-11,2023-01-11,a22dc95311a79f07b68fdfeefe3b06eb793d3bc9
thesamesam,https://api.github.com/repos/akheron/jansson/pulls/639,https://api.github.com/repos/akheron/jansson/issues/639,open,2022-11-21,2022-11-21,,9b24988e4470225bf8df682fcb18943702bb10ef
shouhuanxiaoji,https://api.github.com/repos/akheron/jansson/pulls/634,https://api.github.com/repos/akheron/jansson/issues/634,open,2022-09-27,2022-09-27,,4d1632faa860f47dc5a31c9d0dd5d20dc316a3de
neheb,https://api.github.com/repos/akheron/jansson/pulls/628,https://api.github.com/repos/akheron/jansson/issues/628,closed,2022-08-23,2022-11-11,2022-08-24,e23f5580072cb64ce3ab27de2b5110d7ac252424
akheron,https://api.github.com/repos/akheron/jansson/pulls/626,https://api.github.com/repos/akheron/jansson/issues/626,closed,2022-08-09,2022-08-09,2022-08-09,011e62576949b9167710a4f4ee9a0a97d892a2e1
