user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
YakoYakoYokuYoku,https://api.github.com/repos/arvidn/libtorrent/pulls/7642,https://api.github.com/repos/arvidn/libtorrent/issues/7642,open,2024-03-02,2024-03-02,,b4b1f2012e350a3de5cab85f401d9e202db03df0
ajax16384,https://api.github.com/repos/arvidn/libtorrent/pulls/7640,https://api.github.com/repos/arvidn/libtorrent/issues/7640,open,2024-02-28,2024-02-28,,baf30e82465daf1fc8d9636eef46425dd911970d
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7638,https://api.github.com/repos/arvidn/libtorrent/issues/7638,closed,2024-02-24,2024-02-24,2024-02-24,09829726da3d0b1ca4233cacbf4747399cbbd2fd
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7637,https://api.github.com/repos/arvidn/libtorrent/issues/7637,closed,2024-02-24,2024-02-24,2024-02-24,1bb8793a8bc73d59de17c96ae69424f70ad9b231
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7633,https://api.github.com/repos/arvidn/libtorrent/issues/7633,closed,2024-02-21,2024-02-21,2024-02-21,a60c0db79019a1b5b421e6a9bb32c6065cff1a8b
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7632,https://api.github.com/repos/arvidn/libtorrent/issues/7632,closed,2024-02-21,2024-02-21,2024-02-21,7f7b50ea924171194ed72b7437c62f25c8a03f65
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7631,https://api.github.com/repos/arvidn/libtorrent/issues/7631,closed,2024-02-21,2024-02-21,2024-02-21,a65348137d75312e75f96110ee012ebd274787f3
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7627,https://api.github.com/repos/arvidn/libtorrent/issues/7627,closed,2024-02-19,2024-02-19,2024-02-19,629297d9e6a1e58b9ee1f62690e04b3731bdbf2f
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7626,https://api.github.com/repos/arvidn/libtorrent/issues/7626,closed,2024-02-19,2024-02-20,2024-02-20,7dab72b351d99107c014143d9b3b030e15583ea5
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7625,https://api.github.com/repos/arvidn/libtorrent/issues/7625,closed,2024-02-19,2024-02-20,2024-02-20,4b3f5872e1c3be43ac05e0d46dc57c5fa26f7e04
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7624,https://api.github.com/repos/arvidn/libtorrent/issues/7624,closed,2024-02-19,2024-02-19,2024-02-19,daad19a471e1c8e58f7d004252893ba5c6dd3264
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7623,https://api.github.com/repos/arvidn/libtorrent/issues/7623,closed,2024-02-19,2024-02-19,2024-02-19,051f605ef526c62b430f55440c0dfa4ad0b8389e
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7622,https://api.github.com/repos/arvidn/libtorrent/issues/7622,closed,2024-02-19,2024-02-20,2024-02-20,9b2fe404801e8a504d8981ba9832beb9d9871468
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7621,https://api.github.com/repos/arvidn/libtorrent/issues/7621,closed,2024-02-19,2024-02-19,2024-02-19,1a00267990f55589f74b7139d964674b69115e48
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7620,https://api.github.com/repos/arvidn/libtorrent/issues/7620,closed,2024-02-19,2024-02-19,2024-02-19,5966abb89579396df0a50bee648d0c5705716c8e
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7619,https://api.github.com/repos/arvidn/libtorrent/issues/7619,closed,2024-02-19,2024-02-19,2024-02-19,74bc93a37a5e31c78f0aa02037a68fb9ac5deb41
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7618,https://api.github.com/repos/arvidn/libtorrent/issues/7618,closed,2024-02-18,2024-02-18,2024-02-18,dacf64c506891f605817ffc73b70f4c4676687e9
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7617,https://api.github.com/repos/arvidn/libtorrent/issues/7617,closed,2024-02-18,2024-02-18,2024-02-18,d5e5b82fbe34e0b398cc1e7d99fc560b322cdf5c
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7616,https://api.github.com/repos/arvidn/libtorrent/issues/7616,closed,2024-02-18,2024-02-18,2024-02-18,9f0e28dc19ba21c5e74785d1acfbb972d34d8b8a
Chocobo1,https://api.github.com/repos/arvidn/libtorrent/pulls/7615,https://api.github.com/repos/arvidn/libtorrent/issues/7615,closed,2024-02-18,2024-02-18,2024-02-18,2316136434d6785bc8c5d1b03add005e1a3945a9
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7614,https://api.github.com/repos/arvidn/libtorrent/issues/7614,closed,2024-02-18,2024-02-18,2024-02-18,41882dfcb5228418e2466fd7bdd97fbad7bbfc40
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7613,https://api.github.com/repos/arvidn/libtorrent/issues/7613,closed,2024-02-17,2024-02-18,2024-02-18,30e7e583c3cb3c66cc6d243b0bdee6ebff487c16
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7612,https://api.github.com/repos/arvidn/libtorrent/issues/7612,closed,2024-02-17,2024-02-17,2024-02-17,dc91d35fd1ca461155d94b9d0193a3a45ce6c9f7
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7611,https://api.github.com/repos/arvidn/libtorrent/issues/7611,closed,2024-02-17,2024-02-17,2024-02-17,943522de22563dcec5c0a232309fe9d73cd27f7c
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7610,https://api.github.com/repos/arvidn/libtorrent/issues/7610,closed,2024-02-17,2024-02-17,2024-02-17,fb226a41c5eafde1fc89951e621ec55bbf470c16
arvidn,https://api.github.com/repos/arvidn/libtorrent/pulls/7609,https://api.github.com/repos/arvidn/libtorrent/issues/7609,closed,2024-02-17,2024-02-17,2024-02-17,cc9d07ecd646c8c0487c4d924cef6f888da4a2da
