user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
hughsie,https://api.github.com/repos/fwupd/fwupd/pulls/6875,https://api.github.com/repos/fwupd/fwupd/issues/6875,closed,2024-03-05,2024-03-05,2024-03-05,f92ea06110f5075d7b94c90ad1a637f6b43a647c
d4s,https://api.github.com/repos/fwupd/fwupd/pulls/6872,https://api.github.com/repos/fwupd/fwupd/issues/6872,open,2024-03-04,2024-03-05,,6979091b4b7a0d462ab5bfb90d4ac38029186b87
superm1,https://api.github.com/repos/fwupd/fwupd/pulls/6870,https://api.github.com/repos/fwupd/fwupd/issues/6870,closed,2024-03-04,2024-03-04,2024-03-04,ac7663230021f256ae9ffe95d84fd0e3d1fb2f03
MasonLyu,https://api.github.com/repos/fwupd/fwupd/pulls/6869,https://api.github.com/repos/fwupd/fwupd/issues/6869,closed,2024-03-04,2024-03-05,2024-03-05,5d8b2c971628ae0634c61ef9546f23078a234763
hughsie,https://api.github.com/repos/fwupd/fwupd/pulls/6868,https://api.github.com/repos/fwupd/fwupd/issues/6868,closed,2024-03-01,2024-03-01,2024-03-01,3271037c241eedd1c4709623e0bcfee8772bfea6
hughsie,https://api.github.com/repos/fwupd/fwupd/pulls/6867,https://api.github.com/repos/fwupd/fwupd/issues/6867,closed,2024-03-01,2024-03-04,2024-03-04,c44bd687408bdaa494f17509e8f8e11a61086e5b
flying-elephant,https://api.github.com/repos/fwupd/fwupd/pulls/6866,https://api.github.com/repos/fwupd/fwupd/issues/6866,closed,2024-03-01,2024-03-01,2024-03-01,e27184eb5d9d28cf9777e3a6021571c08813fa4f
hughsie,https://api.github.com/repos/fwupd/fwupd/pulls/6865,https://api.github.com/repos/fwupd/fwupd/issues/6865,closed,2024-02-29,2024-03-02,2024-03-02,ec789a35afb09e62a730c8ab147ec80aa881f446
hughsie,https://api.github.com/repos/fwupd/fwupd/pulls/6864,https://api.github.com/repos/fwupd/fwupd/issues/6864,closed,2024-02-29,2024-03-02,2024-03-02,85cfcdc7725361f2c16e9f64f299258a460c98c9
hughsie,https://api.github.com/repos/fwupd/fwupd/pulls/6863,https://api.github.com/repos/fwupd/fwupd/issues/6863,closed,2024-02-29,2024-02-29,2024-02-29,46b0c072d7851f6a1c9627e1162bb4b89ced4f23
