user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
notabene2,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/851,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/851,open,2023-10-17,2023-10-17,,9e13c1d123c7fd8a93cd17347e375492d17302aa
lahma,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/844,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/844,open,2023-08-12,2023-08-12,,7827e451a80aae0563de5a1da96527f7281a9f7d
lahma,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/843,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/843,closed,2023-08-10,2023-08-12,2023-08-12,ff2d7c30bdb2474d507f001bc555405e9f02a0bb
ds5678,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/841,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/841,open,2023-08-07,2023-11-06,,ccf455700016340af3c0154fce022920c22d683f
Bykiev,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/840,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/840,closed,2023-08-03,2023-08-04,2023-08-04,a73e64d9ce6827999c2d21f54a737b73708fee06
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/828,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/828,closed,2023-03-12,2023-03-12,2023-03-12,0ef794188009c17465e6444d9cf9fffd36eae6e7
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/825,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/825,closed,2023-01-30,2023-01-30,2023-01-30,c19f0a4915b9b61f6a817719ee5316349baa837f
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/824,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/824,closed,2023-01-30,2023-01-30,2023-01-30,a155c133aa9c70c055b07c1ceeeac300b8bc8da8
Christianschrodahl,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/820,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/820,open,2023-01-02,2023-01-02,,401430bb354a5af034989b0c5a50f77bb076591a
elitzamarinova,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/818,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/818,open,2022-12-20,2022-12-23,,69297b264d20818c3d023a4ceaf3ae1ff3cd2d88
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/817,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/817,closed,2022-12-17,2022-12-17,2022-12-17,c51ef18c55988e3251b15f038ced1d9064b6da2f
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/814,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/814,open,2022-12-16,2022-12-16,,b37ec50fbc61dfda6fbc8eb307b9301386878bd4
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/813,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/813,closed,2022-12-16,2022-12-16,2022-12-16,68e2f928ea8d7663f9a41eefe71f3fe0fbe7912b
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/812,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/812,closed,2022-12-16,2022-12-16,2022-12-16,58b5c4e37e7332876cd950274d80259888eccd98
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/811,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/811,closed,2022-12-16,2022-12-16,2022-12-16,c4009fd4c752800b0c0150e674f45e53c4abd69f
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/810,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/810,closed,2022-12-16,2022-12-16,,0122016ed997bb5328d99bd4cc0ef2f221d16072
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/809,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/809,closed,2022-12-15,2022-12-15,2022-12-15,77c5a9766439d70c48f505e7d09b34a701fdb94b
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/808,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/808,closed,2022-12-15,2022-12-15,2022-12-15,cbb9e834d512025a67e93e21432b4dfbd59df3fd
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/795,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/795,closed,2022-11-05,2022-11-05,2022-11-05,cdd0931e3c476faaf829963b2567619431c871bb
flensrocker,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/791,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/791,closed,2022-10-20,2022-10-20,2022-10-20,23becfdaf7477a37d7665ec4cc5eb5cf13ce2966
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/790,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/790,closed,2022-10-20,2022-10-31,2022-10-20,fe2b04bca3ee9f21de016c7685776e93d6d9f909
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/789,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/789,closed,2022-10-20,2022-10-20,2022-10-20,75d1cf82a277da6bf82bb5685e05b0aaa915aaeb
flensrocker,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/787,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/787,closed,2022-10-19,2022-10-20,2022-10-20,6c96ce2f1ce606974493490c884edaac4bab0831
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/778,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/778,closed,2022-09-22,2022-10-31,2022-10-20,a389d9f521dc5ddeae575511dc918b22baab22a5
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/775,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/775,closed,2022-09-18,2022-09-18,2022-09-18,3c1b3ba0cf719d87b6c72d99be6fa9c6e0a3a355
Chris-Johnston,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/769,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/769,open,2022-08-26,2022-08-26,,b516ce67201bbf5cf5a71b6acafff078bf740f30
yihezkel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/766,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/766,closed,2022-08-15,2022-08-16,2022-08-16,79614c5fd8c49d639e7fb367a861d548e646e85d
yihezkel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/765,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/765,closed,2022-08-10,2022-08-11,2022-08-11,a41e066e42161d556caad4824f18bb75ddfb3f2e
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/755,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/755,closed,2022-05-24,2022-09-18,2022-09-18,cea8b0dc154c71040ff74d731ff55c451e8dc59d
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/754,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/754,closed,2022-05-24,2022-05-24,2022-05-24,b5b1b07ddcf3de350d62924a76f7c65d143f6362
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/750,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/750,closed,2022-04-28,2022-05-24,2022-04-28,e589b5e84b27e2d9efc47a11e105a0cd117c8c32
nathan-c,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/746,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/746,closed,2022-04-10,2022-05-24,2022-05-24,d843d6db4767f2f36c8607df4a293ae6e2add9d7
nickl-,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/741,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/741,open,2022-04-05,2022-04-06,,b9aef7c856f9b90916ad4536be2148130967f889
ds5678,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/740,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/740,closed,2022-03-31,2023-08-06,,0d7fcce78f5d3cea11c9c239f9b6684bce367a40
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/736,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/736,closed,2022-03-23,2022-03-23,2022-03-23,cc8dd78ed989888f6685da4cc009c529158738b4
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/727,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/727,closed,2022-02-18,2022-02-18,2022-02-18,71fe846be1f405ab1d9833510ef6d24339bd77ac
piksel,https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/720,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/720,closed,2022-02-10,2022-02-10,2022-02-10,3677a63af4f10bbb9ca6d86fcffae9e4f87e1979
dependabot[bot],https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/717,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/717,closed,2022-02-02,2022-02-10,,fe11fadf38b17ad0e3273581bf15710f7889b398
dependabot[bot],https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/716,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/716,closed,2022-02-01,2022-02-02,2022-02-02,b368847ac1f2625f0ccf7af733ff0a1eaf54a1c1
dependabot[bot],https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/715,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/715,closed,2022-02-01,2022-02-02,2022-02-02,ca8c6de7219feb48724e20923b89c9d2f99d166a
dependabot[bot],https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/714,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/714,closed,2022-02-01,2022-02-10,,e4b9cfff342836ac2ecd0b791717847d33bb8b37
dependabot[bot],https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/713,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/713,closed,2022-02-01,2022-02-10,,d02c38a2534e49333ef7de2af0811e69c165ffbf
dependabot[bot],https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/712,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/712,closed,2022-02-01,2022-02-10,,43bd8b0f08f1e48217883387e3925f9925d689e0
dependabot[bot],https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/711,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/711,closed,2022-02-01,2022-02-02,2022-02-02,9e0d4a434d1bea71c7a9c3c564da43b25db84b17
dependabot[bot],https://api.github.com/repos/icsharpcode/SharpZipLib/pulls/710,https://api.github.com/repos/icsharpcode/SharpZipLib/issues/710,closed,2022-02-01,2022-02-10,,ba98d7897cabd2cde4f4925f827fcd1f7bcda3da
