user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
nschonni,https://api.github.com/repos/sass/libsass/pulls/3186,https://api.github.com/repos/sass/libsass/issues/3186,open,2023-12-15,2023-12-15,,3b93259a0cb8b505cd2b01e4ea07c4f6a6010cd9
nschonni,https://api.github.com/repos/sass/libsass/pulls/3185,https://api.github.com/repos/sass/libsass/issues/3185,open,2023-12-15,2023-12-15,,92ffda62ef8cc02a452da36ec7869377b1900b29
mgreter,https://api.github.com/repos/sass/libsass/pulls/3184,https://api.github.com/repos/sass/libsass/issues/3184,closed,2023-12-15,2023-12-22,2023-12-21,7037f03fabeb2b18b5efa84403f5a6d7a990f460
tom-un,https://api.github.com/repos/sass/libsass/pulls/3183,https://api.github.com/repos/sass/libsass/issues/3183,open,2023-12-04,2023-12-04,,35167b3b7483207b666750c111af4bfe7e8d6518
DavidKorczynski,https://api.github.com/repos/sass/libsass/pulls/3180,https://api.github.com/repos/sass/libsass/issues/3180,open,2022-11-22,2022-11-22,,9f1532b3183aa5042f60c25a23e971e715761c3c
LilyWangLL,https://api.github.com/repos/sass/libsass/pulls/3176,https://api.github.com/repos/sass/libsass/issues/3176,closed,2022-09-09,2022-09-09,2022-09-09,2102188d21d2b7577c2b3edb12832e90786a2831
timgates42,https://api.github.com/repos/sass/libsass/pulls/3172,https://api.github.com/repos/sass/libsass/issues/3172,closed,2021-12-25,2021-12-26,2021-12-26,006bbf5c08d1496cac0605fa8db06f6b8b348ddc
Taritsyn,https://api.github.com/repos/sass/libsass/pulls/3169,https://api.github.com/repos/sass/libsass/issues/3169,closed,2021-11-11,2021-11-11,2021-11-11,b035bc3f953df717ddde563eb734f64020e1fa25
susi132002,https://api.github.com/repos/sass/libsass/pulls/3166,https://api.github.com/repos/sass/libsass/issues/3166,closed,2021-09-30,2021-09-30,,c25b4e7fea884d6aa4d67c48d799f9211e092767
pratik-a,https://api.github.com/repos/sass/libsass/pulls/3163,https://api.github.com/repos/sass/libsass/issues/3163,closed,2021-08-31,2021-09-06,,cd1b0b16ff19010ad031b31d261dfc8c4d23eebe
xzyfer,https://api.github.com/repos/sass/libsass/pulls/3160,https://api.github.com/repos/sass/libsass/issues/3160,closed,2021-07-17,2021-07-18,2021-07-18,da91d98533fd88256bfc7a363f16f8fc70d61b3a
mgreter,https://api.github.com/repos/sass/libsass/pulls/3156,https://api.github.com/repos/sass/libsass/issues/3156,closed,2021-05-20,2021-05-21,2021-05-21,f6afdbb9288d20d1257122e71d88e53348a53af3
mgreter,https://api.github.com/repos/sass/libsass/pulls/3155,https://api.github.com/repos/sass/libsass/issues/3155,closed,2021-05-20,2021-05-21,2021-05-21,f158280c2143c794b1cf0e5ad5c39a5346d05b13
mgreter,https://api.github.com/repos/sass/libsass/pulls/3153,https://api.github.com/repos/sass/libsass/issues/3153,closed,2021-05-10,2022-07-08,2021-05-10,701317fc0444ffcc0c9b47f7dc168d9d7a0fd4d6
benbucksch,https://api.github.com/repos/sass/libsass/pulls/3152,https://api.github.com/repos/sass/libsass/issues/3152,closed,2021-05-10,2021-05-10,,e8ad83c9fb8e380cf528ad062d77775938479907
mgreter,https://api.github.com/repos/sass/libsass/pulls/3150,https://api.github.com/repos/sass/libsass/issues/3150,closed,2021-05-01,2021-05-05,2021-05-01,a0b3c591496cba908629ff51906d21ea52f0b0c4
Mutefish0,https://api.github.com/repos/sass/libsass/pulls/3142,https://api.github.com/repos/sass/libsass/issues/3142,closed,2020-12-17,2021-03-04,2021-03-04,288610acfaa797b44c1a58a18b2cbd2e03937498
Mutefish0,https://api.github.com/repos/sass/libsass/pulls/3141,https://api.github.com/repos/sass/libsass/issues/3141,closed,2020-12-17,2020-12-17,,a0e50a9f1f69cc852ee29b5a232898f4c95f0c97
Fudoshiki,https://api.github.com/repos/sass/libsass/pulls/3137,https://api.github.com/repos/sass/libsass/issues/3137,closed,2020-11-22,2020-11-22,2020-11-22,d4d74ef559b46198f79acfbdaab4556ca56a0405
mgreter,https://api.github.com/repos/sass/libsass/pulls/3136,https://api.github.com/repos/sass/libsass/issues/3136,closed,2020-11-13,2021-05-11,2021-05-11,5fa81352268cc21c3ddf9f2e476128e8d1abb680
mgreter,https://api.github.com/repos/sass/libsass/pulls/3135,https://api.github.com/repos/sass/libsass/issues/3135,open,2020-11-06,2024-01-27,,3f2141c40760ceec6b6b18f3d13aebd0ae993a9e
nex3,https://api.github.com/repos/sass/libsass/pulls/3133,https://api.github.com/repos/sass/libsass/issues/3133,closed,2020-10-27,2020-10-27,2020-10-27,87292ae4b2167401b505be1188d3b82861ab3253
ihsinme,https://api.github.com/repos/sass/libsass/pulls/3131,https://api.github.com/repos/sass/libsass/issues/3131,closed,2020-10-19,2020-10-21,2020-10-21,bea4d60a214d3a73752141bfb3333eb5e498a4a2
scottdavis,https://api.github.com/repos/sass/libsass/pulls/3130,https://api.github.com/repos/sass/libsass/issues/3130,closed,2020-10-07,2020-10-08,2020-10-08,a4c1115a50f69a21da295bced70eb9ed010a04da
acocuzzo,https://api.github.com/repos/sass/libsass/pulls/3129,https://api.github.com/repos/sass/libsass/issues/3129,closed,2020-09-23,2020-09-23,2020-09-23,27a5e58e33b3399078ebfcdafbbfc64ea6d017b5
rgeerts,https://api.github.com/repos/sass/libsass/pulls/3119,https://api.github.com/repos/sass/libsass/issues/3119,closed,2020-07-18,2020-07-18,2020-07-18,b9162a746ad6e9a16a9167516c7302f357a735a4
mgreter,https://api.github.com/repos/sass/libsass/pulls/3101,https://api.github.com/repos/sass/libsass/issues/3101,closed,2020-05-21,2020-05-29,,b2b2eab7e08d82717307741da8a2ebb74d225256
mgreter,https://api.github.com/repos/sass/libsass/pulls/3100,https://api.github.com/repos/sass/libsass/issues/3100,closed,2020-05-21,2020-05-21,2020-05-21,f4cd41093c4969f1788c32c9ac80c309606ba7c0
mgreter,https://api.github.com/repos/sass/libsass/pulls/3096,https://api.github.com/repos/sass/libsass/issues/3096,closed,2020-05-04,2020-05-04,2020-05-04,c890f9287b9a99e4f87f5193917f01f223756fb7
mgreter,https://api.github.com/repos/sass/libsass/pulls/3095,https://api.github.com/repos/sass/libsass/issues/3095,closed,2020-05-03,2020-05-04,2020-05-04,c3c1c0e01af458b262b954ed49557a415e2bd977
mgreter,https://api.github.com/repos/sass/libsass/pulls/3093,https://api.github.com/repos/sass/libsass/issues/3093,closed,2020-05-02,2020-05-04,2020-05-04,ee65eb54142a64d7b3ac8ea919e3a653353dbdff
mgreter,https://api.github.com/repos/sass/libsass/pulls/3090,https://api.github.com/repos/sass/libsass/issues/3090,closed,2020-05-01,2020-05-01,2020-05-01,8d312a1c91bb7dd22883ebdfc829003f75a82396
mgreter,https://api.github.com/repos/sass/libsass/pulls/3089,https://api.github.com/repos/sass/libsass/issues/3089,closed,2020-05-01,2020-05-01,2020-05-01,4cd29d8ed580de710d904a0836e2632c4f3546cb
mgreter,https://api.github.com/repos/sass/libsass/pulls/3088,https://api.github.com/repos/sass/libsass/issues/3088,closed,2020-05-01,2020-05-01,2020-05-01,f1df4dc0a5e90864b681b3b656cba95243141cb0
mgreter,https://api.github.com/repos/sass/libsass/pulls/3087,https://api.github.com/repos/sass/libsass/issues/3087,closed,2020-05-01,2020-05-01,2020-05-01,f63b00dc21ddabb31237ca73d3d66c2f574445bb
mgreter,https://api.github.com/repos/sass/libsass/pulls/3086,https://api.github.com/repos/sass/libsass/issues/3086,closed,2020-05-01,2020-05-13,2020-05-01,49753ba85603fe2b198121c66ef52ed02d192c9d
mgreter,https://api.github.com/repos/sass/libsass/pulls/3077,https://api.github.com/repos/sass/libsass/issues/3077,closed,2020-03-22,2020-04-11,2020-04-11,951500818a7820783a991313cdbe5862a57e2d51
SolarLiner,https://api.github.com/repos/sass/libsass/pulls/3073,https://api.github.com/repos/sass/libsass/issues/3073,open,2020-03-08,2022-08-01,,1f1d77a7b582576b4909688b059e28eb2b167805
bep,https://api.github.com/repos/sass/libsass/pulls/3062,https://api.github.com/repos/sass/libsass/issues/3062,closed,2020-02-13,2020-02-13,2020-02-13,b50404a93b93014ddcffa1903f3ba23a2e979afa
xzyfer,https://api.github.com/repos/sass/libsass/pulls/3060,https://api.github.com/repos/sass/libsass/issues/3060,closed,2020-02-12,2020-02-12,2020-02-12,1b9d52d98c990cebb2fa74fc02a483fa370e4e14
