created_at,pull_requests
2011-08-20,1
2011-10-21,1
2011-10-30,1
2011-11-25,1
2012-01-19,1
2012-02-01,1
2012-03-26,1
2012-04-02,1
2012-04-06,2
2012-04-12,1
2012-04-23,3
2012-04-26,1
2012-05-09,1
2012-05-21,1
2012-05-31,1
2012-06-05,1
2012-06-11,1
2012-06-19,1
2012-06-21,1
2012-07-11,1
2012-07-17,1
2012-08-06,1
2012-09-10,1
2012-10-04,1
2012-11-27,2
2012-12-13,1
2012-12-19,1
2012-12-24,1
2012-12-28,1
2013-01-04,1
2013-01-08,1
2013-01-11,1
2013-01-29,3
2013-03-02,1
2013-03-07,1
2013-03-19,1
2013-04-07,1
2013-04-12,1
2013-06-04,1
2013-06-13,2
2013-08-03,1
2013-08-06,1
2013-08-10,1
2013-08-12,1
2013-08-13,1
2013-09-08,1
2013-09-15,1
2013-09-17,2
2013-10-01,1
2013-11-14,1
2013-11-18,1
2014-02-08,1
2014-02-12,1
2014-03-18,1
2014-03-23,1
2014-03-24,1
2014-03-26,1
2014-04-01,1
2014-04-06,1
2014-04-11,1
2014-04-12,1
2014-07-04,1
2014-07-21,1
2014-07-24,1
2014-07-28,2
2014-08-04,1
2014-08-10,1
2014-08-18,1
2014-08-21,1
2014-08-26,1
2014-12-05,2
2014-12-07,1
2015-02-05,1
2015-03-04,1
2015-03-23,1
2015-03-31,1
2015-04-02,1
2015-04-25,1
2015-05-01,1
2015-05-10,1
2015-05-20,1
2015-06-04,1
2015-08-21,1
2015-09-03,1
2015-09-08,1
2015-09-22,1
2015-10-01,1
2015-10-09,2
2015-11-18,1
2015-11-19,1
2015-11-24,1
2015-11-27,1
2016-01-01,1
2016-01-05,1
2016-01-11,1
2016-01-13,1
2016-01-21,1
2016-02-08,1
2016-05-23,1
2016-05-29,4
2016-06-25,1
2016-07-16,1
2016-07-20,1
2016-07-27,1
2016-08-07,4
2016-08-08,4
2016-08-24,1
2016-09-12,1
2016-09-25,1
2016-09-27,2
2016-10-06,1
2016-11-01,1
2016-11-03,1
2016-11-07,1
2016-11-16,1
2016-11-19,1
2016-11-27,1
2016-12-02,1
2016-12-12,1
2017-02-02,1
2017-02-20,1
2017-03-02,1
2017-03-21,1
2017-03-24,1
2017-03-25,1
2017-04-27,1
2017-05-03,1
2017-05-18,1
2017-06-16,1
2017-06-19,1
2017-06-22,1
2017-06-25,1
2017-07-03,1
2017-07-10,2
2017-07-19,1
2017-07-30,1
2017-08-04,1
2017-08-08,1
2017-08-13,1
2017-08-22,1
2017-09-07,2
2017-09-11,1
2017-09-13,1
2017-09-14,1
2017-10-03,1
2017-11-03,1
2017-11-07,1
2017-11-26,1
2017-12-04,2
2017-12-10,1
2017-12-11,2
2017-12-13,3
2017-12-14,1
2017-12-17,1
