created_at,pull_requests
2012-10-20,1
2013-06-19,1
2013-10-17,1
2013-10-28,1
2015-04-24,1
2015-11-06,1
2015-11-18,1
2015-11-19,1
2015-11-20,1
2016-08-16,1
2016-09-10,1
2017-07-22,1
2017-07-30,1
2017-08-01,1
2017-08-06,1
2017-08-22,1
2017-09-25,1
2017-11-03,1
2017-11-27,1
2018-01-15,1
2018-02-18,1
2018-02-23,1
2018-02-25,3
2018-02-27,1
2018-06-18,1
2018-07-24,1
2018-10-11,4
2018-10-12,4
2018-10-13,5
2018-10-14,2
2018-10-15,1
2018-10-18,1
2018-12-18,1
2019-01-01,1
2019-01-11,1
2019-02-08,1
2019-02-14,8
2019-03-02,1
2019-04-19,1
2019-04-22,1
2019-06-12,1
2019-09-02,1
2019-09-26,1
2019-09-27,1
2019-09-28,1
2019-10-01,1
2019-10-02,1
2019-10-18,1
2019-10-20,1
2019-10-21,1
2019-11-24,1
2019-11-29,1
2019-12-03,1
2020-02-17,1
2020-02-21,1
2020-02-29,1
2020-03-07,1
2020-03-17,1
2020-04-04,1
2020-04-06,1
2020-04-08,1
2020-04-21,1
2020-06-25,1
2020-07-02,3
2021-04-29,1
2021-05-28,1
2021-06-03,1
2021-09-10,1
2021-09-16,1
2021-11-05,1
2021-11-08,1
2021-11-19,1
2021-11-29,2
2021-12-02,2
2021-12-04,2
2021-12-14,1
2021-12-17,1
2021-12-19,1
2022-01-05,1
2022-01-10,1
2022-01-11,1
2022-01-21,1
2022-01-26,1
2022-01-27,1
2022-01-29,1
2022-01-30,1
2022-02-01,1
2022-02-02,1
2022-02-04,2
2022-02-05,2
2022-02-06,1
2022-02-07,1
2022-02-08,2
2022-02-09,1
2022-02-10,1
2022-02-11,3
2022-02-16,1
2022-02-18,1
2022-02-20,1
2022-02-25,1
2022-02-26,2
2022-03-02,2
2022-03-12,2
2022-03-18,1
2022-04-09,2
2022-04-16,3
2022-04-30,2
2022-05-07,1
2022-05-21,1
2022-05-23,2
2022-06-05,2
2022-06-09,1
2022-06-17,2
2022-06-23,2
2022-06-25,4
2022-06-29,1
2022-07-04,1
2022-07-07,1
2022-07-08,1
2022-07-12,1
2022-07-16,1
2022-07-24,1
2022-07-26,1
2022-07-27,1
2022-08-01,2
2022-08-05,2
2022-08-07,1
2022-08-08,1
2022-08-18,1
2022-08-29,1
2022-08-31,1
2022-09-01,1
2022-09-04,2
2022-09-05,1
2022-09-06,1
2022-09-07,2
2022-09-08,1
2022-09-11,2
2022-09-12,3
2022-09-13,1
2022-09-21,3
2022-09-23,3
2022-09-26,1
2022-09-27,2
2022-09-28,1
2022-09-29,2
2022-10-03,1
2022-10-05,1
2022-10-08,1
2022-11-12,1
2022-11-14,1
2022-11-15,1
2022-11-19,3
2022-11-25,2
2022-11-26,1
2022-12-04,1
2022-12-05,1
2022-12-06,1
2022-12-07,1
2022-12-11,1
2022-12-13,1
2022-12-15,2
2022-12-21,2
2022-12-30,1
2022-12-31,4
2023-01-01,3
2023-01-02,1
2023-01-03,2
2023-01-04,1
2023-01-06,1
2023-01-07,1
2023-01-08,1
2023-01-09,1
2023-01-13,1
2023-01-17,1
2023-01-18,1
2023-01-22,1
2023-01-26,1
2023-01-27,2
2023-01-28,3
2023-01-29,2
2023-01-30,1
2023-02-03,1
2023-02-04,1
2023-02-09,1
2023-02-10,1
2023-02-11,1
2023-02-13,1
2023-02-16,1
2023-02-17,1
2023-02-18,1
2023-02-19,1
2023-02-21,1
2023-02-25,2
2023-03-05,2
2023-03-06,2
2023-03-08,1
2023-03-11,1
2023-03-13,1
2023-03-15,1
2023-03-17,1
2023-03-19,2
2023-03-20,1
2023-03-21,2
2023-03-23,1
2023-03-24,1
2023-04-04,2
2023-04-11,1
2023-05-05,1
2023-05-13,1
2023-05-18,1
2023-05-19,1
2023-05-20,3
2023-05-21,4
2023-05-23,1
2023-05-27,2
2023-06-02,2
2023-06-05,1
2023-06-09,2
2023-06-10,1
2023-06-13,3
2023-06-14,1
2023-06-15,2
2023-06-17,2
2023-06-23,1
2023-06-24,1
2023-06-25,2
2023-06-27,1
2023-07-04,1
2023-07-08,1
2023-07-18,1
2023-07-24,1
2023-07-25,2
2023-07-27,1
2023-07-29,2
2023-08-22,1
2023-08-25,1
2023-09-02,1
2023-09-03,4
2023-09-05,1
2023-10-06,1
2023-10-07,2
2023-10-14,1
2023-10-28,1
2023-11-03,1
2023-11-04,1
2023-11-09,1
2023-11-18,1
2023-11-20,1
2023-11-22,1
2023-11-23,1
2023-12-10,1
2023-12-15,1
2023-12-16,1
2023-12-17,1
2023-12-19,2
2023-12-21,2
2023-12-22,1
2023-12-23,5
2023-12-25,2
2023-12-27,1
2023-12-29,1
2024-01-01,1
2024-01-02,1
2024-01-04,1
2024-01-05,1
2024-01-06,1
2024-01-07,3
2024-01-08,4
2024-01-09,1
2024-01-10,2
2024-01-12,1
2024-01-13,1
2024-01-14,2
2024-01-16,2
2024-01-17,3
2024-01-21,2
2024-01-27,1
2024-01-28,1
2024-01-29,1
2024-02-03,2
2024-02-06,1
2024-02-10,1
2024-02-11,1
2024-02-17,5
2024-02-18,1
2024-02-20,2
2024-02-21,1
2024-02-24,1
2024-02-28,2
2024-03-03,1
